,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
39,por que no hay pelotas que hablen,que su hermano grita mucho,los perros,que la pelota vale mucho,es el cabellos que esta muy enredado y feo,son los dientes que est�n bonitos y brillan mucho,es muy tierna y amable,es como una sonrisa bonita que te encanta,pues es cuando paso algo la noche anterior,que hay tiempos que no son buenos para la gente y vendr�n mejores,son cristales en forma de estrella,pues hay figuras de cristal en forma de estrella,son vestidos hechos de tela,pues existen diferentes tipos de vestidos de tela,son como aquellas personas que se resbalan mucho por sus zapatos,pues por que las personas se caen,que algunas personas est�n quietas y pesadas,pues por que ah� personas que no hablan mucho y est�n pesadas de cuerpo,que ah� almas que son muy fuertes como de hierro,pues ah� personas que lastiman sus almas pero ellos siguen adelante,que en las banquetas duermen personas abandonadas,si ah� personas hu�rfanas que viven en la banqueta,que se puede sentar alguien que esta parado,por que debe de haber sillas para que se siente la gente,que los atletas hacen deporte y tienen como su sueno,por que ah� atletas que dan lo m�ximo de ellos en sus concursos,que ah� tiempo para hacer muchas cosas,pues si es posible por que luego decimos que no alcanza el tiempo para nada
40,esta reflejando una acci�n habitual de su mama,que su hermano es alguien que grita mucho,cualquier otra mascota o si su papa tiene mucho pelo tambi�n podr�a ser el,es algo de mucho valor y tambi�n bello y pens� que lo que mejor queda con eso es la esperanza,a un cabello muy despeinado,unos dientes muy blancos y perfectos,una hermana muy tierna y gentil,una sonrisa falsa o malvada,que hay que olvidar lo sucedido en el pasado,que el futuro puede mejorar,una estrella formado por cristal,porque las estrellas emiten un calor muy alto el cual el cristal no podr�a soportar y se derretir�a,un vestido realizado con tela,porque la tela es un material muy recurrido para la ropa,un objeto que se pueda poner en los pies hecho con miel,porque aunque la miel se pueda cristalizar y tener la forma de un zapato el mismo calor del pie empezar�a a derretir la miel,un objeto formado por tallar una piedra,porque desde muchos anos atr�s muchos artistas hac�an obras con piedras usando un martillo y cincel,es una manera metaf�rica de expresar que un hombre es muy valiente y no se rinde ante nada,porque es solo una met�fora y tampoco se sabe si realmente tenemos alma y aunque si existiera obviamente no podr�a ser de hierro,hace referencia a una banqueta que es segura,porque cada persona puede sentirse seguro en algunos lugares,a que una silla ya se desocupo,porque es una manera de decir que ya hay una silla disponible,a que si los atletas tienen como actividad correr,si es posible porque una rama del atletismo es correr entonces si el atleta se dedica a correr cumple con la frase,a que el tiempo es suficiente para realizar algo,porque solo es una manera de medir el tiempo para saber si el tiempo dado alcanzara o no para lograr cierta acci�n
41,por que tuve que a�adir palabras para que pudieran rimar,que cuando le pegan el se pone a gritar,un perro,que la pelota es color amarilla,todo enredado,brillosos,tierna,refrescante,que la fue pasado,que vienen mejores d�as que el de hoy,que son brillantes,que si por que muchas de las estrellas son brillosas,que ay vestidos de tela,si por que ay mucha ropa que es de tela,que tus zapatos son de color miel,por que hay muchos zapatos que son de ese color color miel,que hay muchas esculturas que son de piedra,que si por hay muchas esculturas y algunas son de piedra,que cuando te hacen sentir mal a ti no te preocupa,si por que hay mucha gente que no sienta nada cuando uno le dice algo bonito o algo malo que ellos sienten,banqueta abrigadora,no por que alguna banquetas est�n muy mal echas,que hay un asiento disponible,por en cualquier lado que vayas vas a encontrar un asiento disponible,que los atletas corren cuando van en una carrera,corren para poder ganar la carrera,que tienes bastante tiempo para poder hacer tu trabajo,es posible por que el tiempo vale oro
42,si porque es una canci�n en sentido figurado,porque se la pasa gritando el pensativo ,no se averig�elo usted,que es una pelota de plata,enredado,blanca,porque tal vez se llame candy,que siempre sonr�e,le dieron duro contra el muro,que siempre el hay algo mejor,que hay estrellas de vidrio o cristal,si es posible porque pueden ser figuras de cristal,que son de tela los vestidos,porque realmente existen,que los zapatos son de miel,pueden ser creados parte de ellos con miel,que las esculturas son de piedra,porque ya existen,que es un alma de hierro,0,que la banqueta esta calientes,porque hay duermen los vagabundos,que la silla ya llego,porque tal ves sea una chava apodada silla,que los atletas corren,porque es lo que hacen,que el tiempo alcanza,0
43,no hablan,que grita mucho,un perro,que tiene un temple o una conciencia limpia,rasposo,brillosos,es muy tierna,sonrisa fr�a,que olviden lo de la noche,que mejores tiempos,que es como una estrella que esta echa de cristal y hielo,por que algunos beses ase mucho frio provoca que el se forman estrellas,que es una ropa que se usa en bailes,por que se vende com�nmente en la ropa,no eso no que asco se te pegar�an al piso  ,por que no,arte,lo he visto,alma fuerte,por que tener paciencia se los dem�s,una banqueta te da calor no tiene sentido,no por que las banqueta tas pesan mucho,la silla ah� viene,no caminan,que pueden correr,por que pueden correr,que el tiempo hay de sobra,por que el tiempo alcanza
44,alg�n animal que le encanta hacer demasiado ruido ya sea aullar ladrar maullar etc,mi hermano esta muy gordo y se la pasa gritando,no quiero ser un pervertido y con todo respeto un test�culo,es met�fora como si dijera yo el rostro de mi novia,maltratado,los tiene muy blancos y muy cuidados,muy humilde,muy trabada,me dorm�,el futuro sera mejor que ahora,es una met�fora que hace que las palabras se escuchen bonito al pronunciarlas,no existen estrellas de cristal pues entre la naturaleza no existen estrellas de cristal y como ya lo hab�a mencionado es una met�fora,un vestido hecho de tela,tela es el tipo de material o tipo de textil con el que se fabrica la ropa que usa el ser humano y vestidos de tela si es posible esta muy claro ya que es algo muy conocido por el ser humano,unos zapatos supuestamente hechos de miel,la miel no es un material moldeable para hacer zapatos ni siquiera mantiene su forma pues en cuesti�n de segundos se derrite y ni siquiera tendr�a soporte al pisar,una figura real dimensiona hecha de piedra,el ser humano es capaz de moldear la piedra hasta tener la figura deseada,un alma que resiste todo,nadie sabe si existen las las almas y mucho menos de hierro o al menos el ser humano no sabe de su existencia,una banqueta que te protege,la banqueta te protege de los accidentes de los carros o al menos que una persona valla bien borracha y te haga mierda con su carro,que la silla ya llego para que esperes y esperes algo sentada en ella,por que cuando estas en la parada y paras un cami�n o un taxi y eliges un destino tienes que esperar a que llegues a tu destino,los atletas est�n caminando a velocidad,los atletas hacen ejercicio y correr es hacer ejercicio,el tiempo alcanza si te tardas en algo,si te tardas en algo se te puede hacer demasiado tarde y las cosas por hacer se te pueden juntar con otras
45,porque nada tiene sentido,si porque frita mucho,no,si eres rico puedes,feo es el cabello,no se no he visto una,con carne y es humana,es con los dientes,que ya paso,que sigas adelante,0,si se puede todo,es como como te vistes,si,pues unos simples zapatos,porque la miel se derrite,porque es piedra,porque es una simple piedra,0,porque no se que es,una banqueta que no tienes frio,si porque dios creo todo el mundo,que la silla ya llego a mi lugar,si es posible,porque son atletas perro,si perro,que pongan mas tiempo en la escuela,si
46,por la rima,que empieza a gritar,jugar a algo que me guste,que una plata,chino,dientes limpios,es cari�osa,que sonr�es mucho,que ya paso la noche,que abra mejor tiempo,es como una estrella de cristal,si,es como un vestido o ropa echa tele,si,no se pueden hacer,no por que no existe,un a escultura que es te echa de piedra,si,no existe,si,es fr�a,si,no puede caminar,si,deporte,si,si alcanza,si
47,por que no rima,por que chilla mucho,una naranja,una naranja apachurrada,no,de drenas,fuerte,de miedo,los coches,que son chidos,que no hay,no por que no las e visto,que es algo para las mujeres,si es algo bonito,por que no se pueden hacer,por que no se que dan ala forma,una obra de arte,si por que si se puede hacer,no es posible,por que no,no hay,por que no es posible,0,0,para ser �giles,por que sean r�pidos,que hace falta mas tiempo,por que no alcanzas hacer todo en todo el d�a
48,no,no,no,no,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,nono,no,no,no,no,no,o
49,por que las pelotas son un juguete o aparato de distracci�n por lo tanto no tienen vida solo en Toy Story as� que como no tienen vida no pueden cantar,que mi hermano en redondo y grita mucho,mi gato,que como la luna es plateada por eso es una pelota de plata,amarillo y desordenado,son los dientes muy blancos,dulce,fr�a y blanca,se quedo atr�s,que vendr�n tiempos mejores,que tienen cristales,por que no puede tener cristales a menos de que sea un meteorito,que son de tela,por que casi todos son de tela,que son de miel,por que la miel es espesa pero liquida y no es moldeable,que es de piedra,por que si existen estatuas de piedra,que tu alma es de hierro,por que las almas son algo que no se puede tocar por lo tanto no puede haber almas de hierro,que esta abrigada,por que si alguien tira una cobija o un su�ter a la banqueta se abriga,que ya llego,por que si alguien trae la silla ya llego,que los atletas corren,si no corrieran no serian atletas,que ya te alcanzo el tiempo,por que si te tardas el tiempo te alcanza ejemplo Ana tiene que salir a las tres y son las dos y media y se tarda jugando media hora entonces el tiempo la alcanza por que ya son las tres
50,0,porque los hermanos lloran mucho,ns,no dice mentiras,rizado,dientes brillantes,0,sonrisa inm�vil,que pasa r�pido,que ella alg�n d�a te amara,0,0,ropa ,porque se hace con las manos ,0,0,que la interpreta alguien mas para interpretar alg�n sentimiento,porque si,que es sincero,por si,0,0,porque llego tu novia a tu casa,porque ella no te ama,porque los estudiosos hacen todo y los que no,Minecraft,porque el tiempo pasa r�pido,por si
51,0,no,no s�,0,0,0,dulce,pues fr�a,no s� yo no estaba ah�,0,0,no s� puede ser tal vez,por que todos son de telas,por que son de tela,zapatos pueden ser� de tela no de miel,por que no existe,una pir�mide de piedra,porque si,no,no,nada,0,una silla,si,pues si no sean,por que no,no s�,por que no
52,por que puede cantar,puede gritar,un peine,por que vale plata,0,0,0,0,va,que vendr� algo mejor,no,no,0,0,0,0,no,no,no,no,no,no,0,no,no,no,es por que a veces dura y a veces no,0
53,es algo sin sentido y no es com�n de escuchar,que su hermano se la pasa gritando o sea es un desastroso,un h�mster,una moneda,las nubes normales son formadas por la evaporaci�n del agua,la piel es suave y blanda,pervertida,tristes,distintas cosas no puedo explicar,que es hora de comer como puercos,podr�a ser que sus piernas son muy resistentes,pues si en modo figurativo y no en literal,un sobre com�n y corriente,0,0,0,por que as� es siempre punto final,por que si existe,ojos llorosos,por que es una expresi�n,0,0,que llega ala panza y a los tacos,por que yolo,que vuelan,por que son aves,que oscureci�,por que es normal
54,no por que el poema son oraciones que riman,explica que el hermano grita mucho e inquieto,podr�a ser un animal o mascota,explica que una pelota de plata es algo valioso o importante,no tienen forma geom�trica,muy suave y c�lida,la mirada en negativa,los ojos son deca�dos y sin ganas,ocurre que se da mas la vegetaci�n y naturaleza,esa frase significa que va a llegar una �poca del ano,por que seria irreal,por que todos los tendr�amos,significa que se puede echar cartas en los sobres,por que se usan mucho,no por que no tiene que ver,por que esas 2 cosas no tiene que ver,carb�n en el fuego,si es posible por que el carb�n se calienta,que los ojos est�n tristes,por que me a pasado,0,tampoco se,0,0,que las gavotas pueden volar,si es posible por que las e visto,que se oscurece,si es posible por todos los d�as pasa
55,1gf3r,13fg,13rgfq,1g3f,134tg,feqrg,efe,r4fwrg,ftrjhu4j,0,0,0,wqb,qebe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,porque mi papa no es gordo,es grit�n,un puercoesp�n,bala de ca��n,nublosas,sedosa,ardiente,amargos,que alguien viene,que llego mi t�o navidad,piernas fuertes,porque puedes ejercitarlas y hacerlas fuertes,carta,porque as� se llama,0,0,fuego,porque si quemas carb�n se hace fuego,ojos feos,creo que as� le dicen,0,0,el apestoso vino,no se creo que es eso,que las gaviotas vuelan,porque vuelan,se cae de noche,porque as� se dice
57,porque se refiere a su madre que es gorda,que su hermanito es gordo y grita mucho,un rat�n,porque la luna es color plateado,blancas,suave,enojada,negros,que ya se acerca esa fecha,que ya es la fecha de navidad,que son muy fuertes,porque es una manera de expresarse,que es un sobre hecho con papel,porque si se pueden hacer sobres de papel,que se puede usar muchas veces,porque el zacate se puede volver a usar pues tambi�n el calendario,que el carb�n esta prendido a fuego,porque el carb�n si lo quemas produce mucho fuego,ojos negros,porque amargo se refiere a un sabor no dulce pero no salado y pues existen ojos negros,calceta de color plateado,porque si existen calcetas de color plateado,que alguien que trae la cebolla ya va a llegar,porque pues si hay gente que trae la cebolla,si porque la gaviotas es una especie de ave que puede volar,porque las gaviotas tienen alas para volar y si las e visto,que la ya va a ser la noche y va a empezar a oscurecerse,porque la noche empieza y es una expresi�n
