,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
32,33,m,por que no suena cuerente v,,que llora mucho :v,,un trapeador xd,,que vale mucho :3,,enredado,,muy blancos y brillantes,,"tierna,carinosa",,no sonrie mucho xd,,"que ya pasoo,no puedes recuperarla",,que paso un tiempo malo y aun se resiente,,significa que esta algo congelado,,por que es una cosa si existe en palabra existe en el mundo real,,un tipo de vestido,,por que si hay ese tipo de vestidos,,es un tipo de calzado,,es posible el calzado vegano,,una formo de escultura,,es posible por que en la vida real existen,,ser muy frio,,por que hay personas a si,,que calienta xd,,por que hay banquetaas,,nada,,NS,,por que alcanzan una meta,,NS,,por que se acaba,,por que te llega,,,
33,34,m,por que las pelotas no hablan,,que su hermanogita mucho,,un puerco spink,,una pelota briullante,,largo y negro,,blancos y duros,,bonita,,alargada y roja,,paso,,bendra un futuro mejor,,brillantes,,es posible,,vestidos normales,,es imposible,,zapatos de miel,,imposible,,una persona reprecentativa echa de piedra,,imposible,,almafuerte,,imposible,,no see,,imposible,,nosee,,imposible,,un atletano puede correr,,imposible,,se acaba el tiempo,,impopsiblke,,,
34,35,m,no entendi,,grita,,cabeza,,es de plata,,negro,,blancos y duros,,bonita,,alargada y roja,,se quedo,,mejor futura,,a si son,,imposible,,vestidos de tela,,posible,,zapatos de miel,,posible,,una escultura de piedra,,posible,,alma dura,,posible,,NS,,posible,,que una silla no se mueve,,posible,,no pueden coreer,,posible,,que se acaba el tiempo,,posible,,,
35,36,m,por que notiene nigun sentido,,por que es dibertido,,mi perro,,mi mama,,como amarillo,,son de color azul claro,,un dulse redondo y de sabor,,cuadrada,,pues nada por que dise quedo atras,,que te ira mejor en la vida,,que si puede aber,,por que brillan mucho,,que te pones una blusa de tela,,por que se puede acer con una maquina de cocer,,que llo dijo que no por lo que e vis ay de cuero,,por que no e visto sapatos de miel,,solo ay de tabique,,si por que todas las casas son de ladrillo,,solo se usa en las canciones,,por que no ay corazones de hierro,,por que son de concreto,,por que solo ay de concreto,,que l lego la silla,,por que llego una silla nueba,,pues asen una carrera,,por que los atletas corren,,por que pasa rapido,,por que son tiempos que pasan,,,
36,37,m,por q las pelotas no cantan,,que cada q lo tocan hace un grito,,una bola de estambre,,por que un balin es como una pelota y es de color plata,,chino y enredao,,son blancos,,muy tierna y buena,,cautivadora,,ya paso,,que sucederan cosas mas buenas y mejores,,que son muy brillantes,,por el brillo y por lo bellas q son,,de lo q estan hechos,,por q los vestidos son de telas,,que son dulces,,por q no se pueden hacer,,obra de arte,,por q se pueden hacer figuras con la piedra,,que eres fuerete,,si por que tu puedes ser como quieras,,que te puede ayudar,,si por que te puedes dormir en ella,,que se habia ido,,no por que las sillas no se mueven solas,,que hacen ejercicio,,si por que los atletas hacen ejercicio,,que tienes tiempo para hacer las cosas,,si por q te sobra tiempo,,,
37,38,m,por que ninguna pelota habla,,que su hermanito tiene muchas energias para gritar,,una bola de pelos,,es una pelota cubierta de plata,,es un cabello echo de zacate,,unos dientes que tienen perlas,,una hermanita que es muy bonita,,una sonrisa congelada,,una noche que ya paso,,cuando estas en un problema pero habra tiempos mejores,,una estrella echa de vidrio muy duro,,no por que no existen las estrellas de cristal,,un vestido echo con un hilo muy delgado,,si por que se fabrican vestidos para mujeres,,un zapato cubierto de miel,,no por que se maltrataria el zapato,,una persona talada en piedra,,si con instrumentos para talar piedra,,una persona echa de hierro,,no por que no existen personas con alma de hierro,,una banqueta de sueteres,,no no existen banquetas con sueteres,,una silla que llega a su casa,,no por que no existen sillas que hablen,,que una persona saludable corra,,si por que existen carreras,,que para hacer cosas hay mucho tiempo,,si por que si no al cansara el tiempo no hariamos muchas cosas,,,
38,39,m,las pelotas no cantan,,que mi hermanito no para de gritar,,que una cosa esta llena de pelos,,yo soy como una pelota de plata en el fut bol,,esta enredado,,que siempre estan como nuevos,,carinosa,,como sin ganas de reite,,que eso ya paso,,cuando sales de un aprieto,,que no hay estrellas de cristal,,por que no puede aver estrellas de cristal,,que todos los vestidos son de tela,,por que los vestidos se cocen con tela,,por que no hay zapatos de tela,,por que la miel es un liquido,,si hay esculturas de piedra,,por que si se pueden aser,,que eres fuerte psicologicamente,,por que es cuando no te dejas llevar por cualquier cosa,,solo sirve para pisar,,por que la banqueta es plana,,no se puede,,por que las sillas no caminan,,si corren,,por que son atletas,,si lo aces rapido lo que agas,,por que asiendo cualquier cosa rapido alcansa el tiempo,,,
39,40,m,por que no ahi pelotas que hablen,,que su hermano grita mucho,,los perros,,que la pelota vale mucho,,es el cabellos que esta muy enredado y feo,,son los dientes que estan bonitos y brillan mucho,,es muy tierna y amable,,es como una sonrisa bonita que te encanta,,pues es cuando paso algo la noche anterior,,que ahi tiempos que no son buenos para la gente y vendran mejores,,son cristales en forma de estrella,,pues ahi figuras de cristal en forma de estrella,,son vestidos echos de tela,,pues existen diferentes tipos de vestidos de tela,,son como aquellas personas que se resbalan mucho por sus zapatos,,pues por que las personas se caen,,que algunas personas estan quietas y pesadas,,pues por que ahi personas que no hablan mucho y estan pesadas de cuerpo,,que ahi almas que son muy fuertes como de hierro,,pues ahi personas que lastiman sus almas pero ellos siguen adelante,,que en las banquetas duermen personas abandonadas,,si ahi personas huerfanas que viven en la banqueta,,que se puede sentar alguien que esta parado,,por que debe de haber sillas para que se siente la gente,,que los atletas hacen deporte y tienen como su sueno,,por que ahi atletas que dan lo maximo de ellos en sus concursos,,que ahi tiempo para hacer muchas cosas,,pues si es posible por que luego decimos que no alcanza el tiempo para nada,,,
40,41,m,esta reflejando una accion habitual de su mama,,que su hermano es alguien que grita mucho,,cualquier otra mascota o si su papa tiene mucho pelo tambien podria ser el,,es algo de mucho valor y tambien bello y pense que lo que mejor queda con eso es la esperanza,,a un cabello muy despeinado,,unos dientes muy blancos y perfectos,,una hermana muy tierna y gentil,,una sonrisa falsa o malvada,,que hay que olvidar lo sucedido en el pasado,,que el futuro puede mejorar,,una estrella formado por cristal,,porque las estrellas emiten un calor muy alto el cual el cristal no podria soportar y se derretiria,,un vestido realizado con tela,,porque la tela es un material muy recurrido para la ropa,,un objeto que se pueda poner en los pies echo con miel,,porque aunque la miel se pueda cristalizar y tener la forma de un zapato el mismo calor del pie empezaria a derretir la miel,,un objeto formado por tallar una piedra,,porque desde muchos anos atras muchos artistas hacian obras con piedras usando un martillo y cincel,,es una manera metaforica de expresar que un hombre es muy valiente y no se rinde ante nada,,porque es solo una metafora y tampoco se sabe si realmente tenemos alma y aunque si existiera obviamente no podria ser de hierro,,hace referencia a una banqueta que es segura,,porque cada persona puede sentirse seguro en algunos lugares,,a que una silla ya se desocupo,,porque es una manera de decir que ya hay una silla disponible,,a que si los atletas tienen como actividad correr,,si es posible porque una rama del atletismo es correr entonces si el atleta se dedica a correr cumple con la frase,,a que el tiempo es suficiente para realizar algo,,porque solo es una manera de medir el tiempo para saber si el tiempo ddo alcanzara o no para lograr cierta accion,,,
41,42,m,por q tube q anadir palabras para q pudieran rrimar,,q cuando le pegan el se pone a gritar,,un perro,,q la pelota es color amarilla,,todo enrredado,,brillosos,,tierna,,refrescante,,que la fue pasado,,q bienen mejores dias q el de hoy,,que son brillantes,,que si por que muchas de las estrellas son brillosas,,que ay bestidos de tela,,si por q ay mucha ropa que es de tela,,que tus sapatos son de color miel,,por q hay muchos sapatos que son de ese color color miel,,que hay muchas esculturas q son de piedra,,q si por hay muchas esculturas y algunas son de piedra,,q cuando te asen sentir mal aty no te preocupa,,si por q hay mucha jente q no sienta nada cuando uno le dise algo bonito o algo malo q ellos sienten,,banqueta abrigadora,,no por q alguna banquetas estan muy mal echas,,que hay un aciento disponible,,por en cualqueir lado q ballas vas a encontrar un aciento disponible,,que los atletas corren cuando van en una carrera,,corren para poder ganar la carrera,,que tienes bastante tienpo para poder aser tu trabajo,,es pocible por q el tienpo bale oro,,,
42,43,m,si porque es una cancion en sentido figurado,,porque se la pasa gritando el pensativo ajajjajaj,,nose aberiguelo usted,,que es una pelota de plata,,enredado,,blanca,,porque tal ves se llame candy,,que simpre sonrie,,le dieron duro contra el muro,,que siempre el hay algo mejor,,que hay estrellas de vidrio o cristal,,si es posible porque pueden ser figuras de cristal,,que son de tela los vestidos,,porque realmente existen,,que los zapatos son de miel,,pueden ser creados parte de ellos con miel,,que las esculturas son de piedra,,porque ya existen,,que es un alma de hierro,,no se :v,,que la banqueta esta calientes,,porque hay duermen los bagabundos,,que la silla ya llego,,porque tal ves sea una chaba apodada silla,,que los atletas corren,,porque es lo que ahacen,,que el tiempo alcanza,,no se :v,,,
43,44,m,no hablan,,que grita mucho,,un perro,,que tiene un temple o una conciensia limpia,,rasposo,,brillosos,,es muy tierna,,sonrisa fria,,que olviden lo de la noche,,que mejores tienpos,,que es como una estrella que esta echa de cristal i hielo,,por que algunos beses ase mucho frio provoca que el se forman estrellas,,que es una ropa que se usa en bailes,,por que se vende comunmente en la ropa,,no eso no que asco se te pegarian al piso xd lol .-.{,,por que no,,arte,,lo ebisto,,alma fuerte,,por que tener pasiencia se los demas,,una banque te da calor no tiene sentido,,no por que las banque tas pesan mucho,,la silla ai biene,,n caminan,,que pueden correr,,por que pueden correr,,que el tiempo ai de sobra,,por que el tiepo alcansa,,,
44,45,m,"algun amimal que le encanta hacer demaciado ruido ya sea aullar, ladrar, maullar,etc.",,mi hermano etsa muy gordo y se la pasa gritando.,,no quiero ser un pervertido y con todo respeto un testiculo,,es metafora como si dijera yo el rostro de mi novia,,maltratado.,,los tiene muy blancos y muy cuidados.,,muy humilde.,,muy trabada.,,me dormi.,,el futuro sera mejor que ahora.,,es una metafora que hace que las palabrasse escuchen bonito al pronunciarlas.,,no existen estrellas de crisal pues entre la naturaleza no existen estrellas de cristal y como ya lo habia mencionado es una metafora.,,un vestido hecho de tela.,,tela es el tipo de material o tipo de textil con el que se fabrica la ropa que usa el ser humano y vestidos de tela si es posible esta muy claro ya que es algo muy conocido por el ser humano.,,unos zapatos supuestamente hechos de miel.,,la miel no es un material moldeable para hacer zapatos nisiquiera mantiene su forma pues en cuestion de segundos se derrite y nisiquiera tendria soporte al pisar.,,una figura real dimenciona hecha de piedra.,,el ser humanoes capaz de moldear la piedra hasta tener la figura deseada.,,un alma que resiste todo.,,nadie sabe si existelas las almas y mucho menos de hierro o al menos el ser humano no sabe de su existencia.,,una banqueta que te protege.,,la banqueta te protege de los accidentes de los carros o al menos que una persona valla bien peda y te haga mierda con su carro.,,que la silla ya llego para que esperes y esperes algo sentada en ella.,,por que cuando estas en la parada y paras un camion o un taxi y eliges un destino tienes que esperar a que llegues a tu destino.,,los ttletas estac caminando a velocidad.,,los atletas hacen ejercicio y correr es hecer ejercicio.,,el tiempo alcanza si te tardas en algo.,,si te tardas en algo se te puede hacer demasiado tarde y las cosas por hacer se te pueden juntar con otras.,,,
45,46,m,porque nada tiene sentido,,si porque frita mucho,,no,,si eres rico puedes,,feo es el cabello,,no se no he visto una},,coooon carne y es humana,,es con los dientes,,que ya paso,,que siguas adelante,,NS,,si se puede todo,,es como como te vistes,,si,,pues unos simples zapatos,,porque la miel se derritre,,porque es piedra,,porque es una simple piedra,,NS,,porque no se que es,,una banquta que no tienes frio,,si porque dios creo todo el mundo,,que la silla ya llego a mi lugar,,si es posible,,porque son atletas prro,,si prro,,que pongan mas tiempo en la escuela,,si,,,
46,47,m,por la rima,,que enpieza a gritar,,jugar a algo que me guste,,que una plata,,chino,,dientes limpios,,es carinosa,,que sonries mucho,,que ya paso la noche,,que abra mejor tienpo,,es como una estrella de cristal,,si,,es como un vestido o ropa echa tele,,si,,no se pueden aser,,no por que no existe,,un a escultura que es te echa de piedra,,si,,no existe,,si,,es fria,,si,,no puede caminar,,si,,deporte,,si,,si alcansa,,si,,,
47,48,m,por que no rima,,por que chilla mucho,,una naranga,,una naranga apachurada,,no,,de drendas,,fuerte,,de miedo,,los copches,,que son chidos,,que no hay,,no? por que no las e visto,,que es algo para las mujeres,,si es algo bonito,,por que no se pueden aser,,por que no se que dan ala forma,,una hodra de arte,,si por que si se puede aser,,no esposidle,,por que no,,no hay,,por que no es posible,,NS,,NS,,para ser agiles,,por que sean rapidos,,que ase falta mas tiempo,,por que no alcansas aser todo en todo el dia,,,
48,49,f,no,,no,,no,,no,,NS,,NS,,NS,,NS,,NS,,NS,,no,,no,,mo,,no,,no,,no,,no,,no,,no,,no,,no,,nono,,no,,no,,noi,,no,,no,,o,,,
49,50,m,"por que las pelotas son un jugete o aparato de distraccion por lo tanto no tienen vida solo en toy stori, asi que como no tienen vida no pueden cantar",,que mi hermano en redondo y grita mucho,,mi gato,,que como la luna es plateada por eso es una pelota de plata,,amarillo y desordenado,,son los dientes muy blancos,,dulce,,fria y blanca,,se quedo atras,,que vendran tiempos mejores,,que tienen cristales,,por que no puede tener cristales a menos de que sea un meteorito,,que son de tela,,por que casi todos son de tela,,que son de miel,,por que la miel es espesa pero liquida y no es moldeable,,que es de piedra,,por que si existen estatuas de piedra,,que tu alma es de hierro,,por que las almas son algo que no se puede tocar por lo tanto no puede aber almas de hierrra,,que esta abrigada,,por que si alguien tira una cobija o un sueter a la banqueta se abriga,,que ya llego,,"por que si alguien trae la silla, ya llego",,que los atletas corren,,si no corrieran no serian atletas,,que ya te alcanzo el tiempo,,"por que si te tardas el tiempo te alcansa ejemplo, ana tiene que salir a las tres y son las dos y media y se tarda jugando media hora entonces el tiempo la alcanza por que ya son las tres",,,
50,51,m,nn,,porque los hermanos lloran mucho,,ns,,no dice mentiras,,risado,,dientes brillantes,,:v,,sonrisa inmovil,,que pasa rapido,,que ella algun dia te amara,,:v,,:v,,ropa :v,,porque se hace con las manos :v,,no lo se :v,,no le entiendo a nada :v,,que la interpreta alguien mas para interpretar algun sentimiento,,porque si,,que es sinsero,,x si :v,,no lo se,,no lo se,,"porque llego tu elfa a tu casa :,v",,"porque ella no te ama :,v x666",,"porque los estudiosos hacen todo y los que no :,v",,maincra,,porque el tiempo pasa rapido,,x si :v,,,
