,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
36,37,m,no. porque no puedo encontrar el ritmo del poema,,que es aburrido,,mi cabello porque se la pasa enredado,,la luna porque es de color plata en la noche y dia,,suave,,con buen olor,,felices,,bonita,,se pasa a otro,,que todo es rapido,,tus ojos estan dorados ,,por que la miel es dorada y si lo crei posible,,tu collar es un color muy blanco ,,por que las perlas son muy blancas y hermosas,,0,,0,,tu comida se exedio con la sal ,,que no era tan posible digerir tanta sal a la vez,,que tiene un don para abrazar ,,porque abrazos suaves es como un don para abrazar ,,el lapiz no tiene sabor es de madera,,la madera no sabe a casi nada,,cuando algo sale de tu orno se mueve ,,el horno se mueve cada que saco algo de ahi ,,que el tren puede llegar algun lugar ,,el tren se puede ir y llegar en minutos ,,que los dias pasan muy rapido ,,que nunca es lento el dia ,,,
37,38,m,si. a sentido figurado podria ser una radio,,que su hermano siempre o la mayoria de veces grita o llora,,uno mismo por no cortarse el pelo,,como las estrella brillan y la plata refleja la luz como una estrella,,la del ser humano es fragil como el papel ,,por que una flor es como el oro,,organo que palpita sangre a todo el cuerpo. y la frase significa que no sienten,,una expresion del cuerpo significa una sonrisa que siente calientita,,el año es un anidad de medida. la oracion dice que siente que el tiempn va muy lento ,,que se te entretienes en algo que te guste pasara mas rapido el tiempo ,,que tus ojos parecen como la dulce miel ,,si porque es una comparacion de unos ojo bonitos con la miel,,literal: un collar echo de perlas figurado: tus dientes son como perlas ,,si porque tiene tanto un sentido figurado como literal ,,una nina fragil ,,porque es una comparacion ,,algo que tiene demasiada sal ,,0,,que sientes los abrazos muy bien como almohadas,,si porque es una comparacion,,que el lapiz es muy tenue ,,esta comparando que el lapiz no pinta muy bien ,,que biene el calor,,si porque estan comparando el calor de horno con el calor ,,que el tren esta en movimiento ,,si porque esta diciendo que esta avanzando,,pasan muy rapidos los dias ,,si porque tambien es una comparacion ,,,
38,39,m,si. porque si da sentido eso de pelotas,,porque su hermanito es pequeno y grita por eso,,seria una pelota hecha de pelos,,seria un trofeo,,de color carne,,son pequeñas,,de color rojo,,es solo una sonrisa,,por que no hay nada de actividades,,que cada segundo cuenta,,de que tiene ojos pegajoso,,por que si tuvieramos ojos de miel serin muy pegagosos,,de ese collar las perlas fueron de conchas ,,el collar de perlas es lo mas costoso,,porque no hay tal cosa de escoba de cristal ,,no puede existir tal cosa de cristal ,,de que a la comida le ponen mucha sal ,,si solo le ponen mucha sal ala comida ,,de que no te aprietan al darte un abrazo ,,porque si te da un abrazo no te aprietan,,por que no hay lapiz con sabor ,,no hay tal cosa que lapiz sin sabor ,,solo quiere decir que se acerca la temporada ,,solo dice que se hacerca su temporada ,,si de que viaja el tren ,,a cualquier parte del mundo ,,por hacer actividades,,al hacer cualquier cosa ,,,
39,40,m,si. cuando una persona canta,,cuando un hermanito grita porque quiere algo,,un gato,,se refiere a la luna,,blanca y transparente ,,hermosas y ricas,,felices y frios ,,feliz y alegre ,,quje va rapido,,que el tiempo pasa rapido ,,ojos hechos de miel ,,por que la miel no es moldeable ,,collares con perlas ,,por que cuando recoectan las perlas hacen los collares ,,una escoba hecha de cristal,,funden el cristal y lo ponen en un molde de escoba ,,comida con mucha sal ,,cuando hacen comida le hechan mucha sal ,,cuando alguien le da un abrazo ,,cuando chica tiene afecto de ti y te abrza ,,lapices que no tienen sabor ,,por que los lapiz nunca tienen sabor ,,que los hornos van a ti ,,los hornos estan hecho para calentar no para acercarce,,cuando un tren va de una estacion a otra,,por que los trenes tienen que ir de una estacion a otra ,,cuando cierras los ojos otro dia sale ,,cuando note das cuenta que parpadeas inicia otro dia ,,,
40,41,m,no. porque las pelotas no cantan ,,que grita mucho,,un gato porque tiene muchos pelos.,,la pelota es dura y brillante,,delgadita ,,brillantes ,,negros ,,intermedia ,,esta aburrido ,,se pasa muy rapido el tiempo ,,ojos bonitos,,por que cada humano tenemos ojos diferentes ,,collar brillante ,,porque hay collares de perlas,,escoba muy brillante ,,no por que nomas hay  de madera,,mucha sal en la comida ,,si por que a veces se nos pasa y le echamos arrta sal ,,un abrazo tierno ,,si por que un abrazo suave se da con amor ,,no por que el lapiz no tiene sabor ,,el lapiz no tiene sabor ,,no por que los hornos no caminan ,,los hornos no caminan ,,si por que va de un lado a otro ,,si porque lleva personas y objetos ,,si porque las horas pasan ,,si es cono dicen el tienpo se va volando ,,,
41,42,m,si. porque es un juguete para rebotar. rodar y aventar.,,si. porque siempre chilla,,para un perro,,porque es una pelota voliche,,es como un pizarron,,es como un brillo,,cuando alguien le congelan el corazon ,,son cuando casi son tristes,,por que es un reloj,,cuando un segundo va a volver ,,una frase que enamora ,,si es posible porque es como un poema de amor ,,es como un poema ,,si porque las palabras tienen amor ,,es como un poema ,,si porque las palabras tienen amor ,,es como una comida,,si porque se puede comer con atun,,si es como un carino ,,si por que cuando yega un tio nuevo lo abrasas ,,NN,,NN,,no hornos,,no se pueden acercar,,un tren ,,si viaja por ciudades,,dias ,,por que como yr a paise tavi seodido el dia ,,,
42,43,m,si. porque suena muchas veces,,que esta gritando todo el dia,,el sol porque es redondo,,que brilla,,rosita y suavecita,,bonitas y pequeñas,,rojos como una rosa,,alegre y hermosa,,porque va muy lento,,que se van rapido las horas ,,0,,porque no puedes tener ojos de miel ,,0,,collares los que usan las duquesas ,,0,,no se puede tener una escoba de cristal ,,0,,si como el jamon y el queso ,,significa una felicidad,,NN,,0,,NN,,no se pueden mover ,,los hornos calientan cosas,,0,,se mueve muy rapido,,0,,si pero lentos,,,
43,44,m,si. porque canta,,porque las hermanas por todo se enojan,,que son pelotas cualquiera,,es una abuela,,debil,,brillan,,no siento nada,,debil,,es despacio ,,0,,que son ojos de miel ,,porque no es posible ,,que son collares de perlas ,,porque no es posible ,,que son escopeta de cristal ,,porque no es posible ,,que es comida saludable ,,porque no es posible ,,que son abrasos suaves ,,porque si es posible ,,que son lapiz sin sabor ,,por que no es posible ,,que son los hornos se asercan ,,porque no es posible ,,que el tren viaja ,,porque no es posible ,,que los dias pasan corriendo ,,porque si es posible ,,,
44,45,m,si.  figurado porque esta hablando con pret,,su hermano es muy travieso,,el mar porque esta muy grande,,es igual a la luna de redonda,,color carnita,,amarillas y rosas,,rojo y muy chiquitos,,grande pero despues de hace chuiquita,,pasan muchas festividades,,se pasa el tiempo rapido ,,ningun ser vivo tiene ojos de miel ,,los animales ni las personas tienen ojos de miel ,,algunas personas usan collares ,,solo las mujeres usan collares de perlas ,,ninguna persona usa escoba de cristal ,,ningun ser vivo usa escoba de cristal ,,todas las personas comen comida salada,,las personas comen comida salada,,no importa que tanto abrazes ,,lo que importa que lo haga bien ,,si no haces esfuerzo no vas a lograr nada ,,si no haces las cosas bien todo te va a salir bien ,,NN,,no,,NN,,0,,si no das prisa los dias se van volando ,,todas las cosas se van rapido ,,,
45,46,m,no. porque no existen esas pelotas y menos su familia,,que grita mucho,,nada porque no existen esas pelotas,,WW,,de papel ,,de oro,,frios ,,tibia,,va muy lento,,que los segundos se van muy rapido ,,ojos dulces ,,por que se entiende ,,que es un collar de perlas ,,por que es verdad ,,que son escobas de cristal ,,no existen ,,que la comida esta salada ,,por que aveses la comida queda salada ,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,
46,47,m,si. es un poema,,que su hermano es griton,,que es suave,,que se parece a la luna,,que parece una hoja de pepel lisa ,,son flores bañadas en oro,,que el corazon es muy frio ,,es hermosa su sonrisa,,que el año pasa lento ,,que el tiempo corre,,por que no e visto alguna con ojos amarillos ,,no por que no hay una persona con ojos como de miel ,,son collares muy baliosos por que son de piedra ,,si porque si ay collares de perlas ,,por que si es de cristal se cae y se rompe,,no por que si la ubiera nadie la compraria por que se cae y se rompe ,,por que mucha gente esta sana ,,si por que ay personas que comen comida sana como no comendada de comida chatarra,,que una persona tiene los brasos suaves ,,ay personas que dan abrasos suaves ,,porque todos los lapices saber a madera ,,algunos saben a madera ,,no hay hornos que caminen o se acerquen,,no por que no hay horno que camine,,por que un tren traslada personas ,,si por que los traslada a lugares,,por que pasan rapido ,,si algunas personas dicen asi porque los dias pasan ,,,
47,48,m,si. se refiere a jugar,,es muy escandaloso,,un gato creo,,creo que es una bala de iman,,flexible ,,muy hermosas y costosas,,muertos,,contenta,,se nos pasa lentamente,,estamos concentrados ,,0,,porque no ay de ese color ,,son muy costosos ,,porque si existen,,se rompen,,se ronperias y no podrias barrer,,sepasande al con la comida ,,sino no casi no tela puedes comer ,,con carino,,si porque le tienes un gran carino a alguien ,,es un arbol,,porque casi todo tiene sabor menos el aire ,,NN,,NN,,anda pa todos lados ,,viajan con la gente ,,son rapidos,,si pasan rapido ,,,
48,49,m,si. porque son juguetes,,llora por ella ,,la de los gatos,,una canca de  fierro,,como la de una momia,,no existen ,,no tienen sentimientos ,,no quiere sonrerir,,pasan muchos dias,,pasa muy rapido el tiempo,,esta bonito de sus ojos,,hay muchas personas que asi los tienen,,un collar se lo das al que mas quieres,,yo he visto muchos,,son escobas hechas de vidrio,,no es posible,,la comida tiene mucha sal,,muchas veces que ke hechan mucha sal,,son muy queditos,,muchas veces te los da tu mama,,no tien sabor,,nunca ha existido un lapiz asi,,se mueven,,nunca se mueven,,un tren en movimiento,,hace muchos viajes,,se pasan de rapido,,siempre avanza el dia,,,
49,50,m,no. porque no canta,,que su hermano grita mucho,,su perro,,que la pelota puede ser dura,,suave,,bonitas y huelen bien,,rojos,,feliz,,que va lento,,que va muy rapido el tiempo,,que sus ojos son bonitos,,no porque no pueden existir unos ojos de miel ,,que tu collar es brillante,,si por que si exuetn los collares de perlas,,que es fragil,,no por que se rompen muy facil,,que no sabe bien,,por que puede ser una comida salda,,que es muy suave,,si por qu e lo sbrazos son suaves,, que no tiene sabor,,no por que uno no toene sabor,,que hace mucho calor,,no por que no se puede acercar un horno a ti,,que se mueve el tren,,si por que se mueve,,que viene otro dia,,que cuando dia se acab viene otro,,,
50,51,m,si. porque lo revise 3,,porque esa pelota esta muy poco inflada,,una pelota que le cayo pelo de la peluqueria,,una pelota de color plateada,,un campo de fuerza para todo nuestro cuerpo de color rosado ,,es un palo poco duro color verde y amarillo y un capullo en el que hay hojas de colores llamados petalos,,tienes una forma de papa con miles de cablecitos y unos tubos  de carton,,es una medida rosada con unos ladrillos cuadrados de color blanco,,cuando estas feliz te entretienes yno notas el tiempo pero cuando estas enojado se te va el tiempo,,cuando los segundos pasan se mueren y van al cielo,,que tengas ojos de miel,,por que las abejas no te pueden hacer unos ojos,,un colar hech de perla,,por qu las almejas si te pueden hacer perlas,,una escoba hecha de cristal,,por que al tercer barrido ya se rompe,,una comida con sal,,si creen que no es posible aprendan a usar el salero ,,muy poco fuerte,,por que puedo darle un abrazo suave a la ****,,lapiz con sabor misterioso,,por que el lapiz estaria desabrido,,los hornos se viene  para aca,,por que los hornos no tienen piernas,,el tren va de un lugar a otro,,si por que se su tarea diaria,,los dias se van ,,los dias se asustan cuando viene la noche,,,
51,52,m,si. porque es una persona que canta ,,que grita mucho,,mi hermano porque es ruidoso,,algo que aprecio mucho,,suave ,,muy bonitas,,no tienen sentimientos ,,esta normal ,,sientes que el año va lento ,,el tiempo se pasa rapido,,ojos de color cafe claro,,0,,collares con jolleria,,0,,algo fragil,,0,,comida sin sabor,,0,,un abrazo suave,,0,,al lapiz se le acaba la punta,,0,,el horno esta caliente,,0,,el tren va a algun lado,,0,,los dias se pasan rapido,,0,,,
52,53,m,no. porque es algo muy raro ,,una persona que grita mucho,,algo que tiene mucho pelo. porque asi es como se oye,,algo duro,,suave y resbalosa,,coloridas y olorosas,,rojos y medianos ,,larga y graciosa,,se celebran algunas cosas,,que los segundos pasan rapido,,que tengas ojos como miel,,no por que no puedes tener ojos de miel,,que tengas un collar de perlas,,si por que puede existir un collar de perlas,,que tengas una escoba hecha de cristal,,no por que nunca se ha hecho aunque se puede hacer,,que sirvan comida salada,,si por que puede haber comida salada,,cuando te dan un abrazo no tan fuerte,,si por que puede sentirse suave,,un lapiz por supuesto no tiene sabor,,si por que un lapiz no tiene sabor,,que los hornos se mueven,,no por que los hornos no se mueven,,el tren viaja a muchos lugares,,si por que el tren viaja a muchos lugares,,los dias pasan,,si por que los dias van pasando,,,
53,54,m,no. porque las pelotas no son seres vivos,,que su hermano grita mucho,,perro tiene muchos pelos,,un robot,,de papel ,,de oro ,,frios ,,tibia,,va muy lento,,que siempre suben al primer lugar ,,que los ojos son bonitos,,no por que los ojos no son de miel son de agua,,que es bonito como perla,,si por que hay collares de perlas,,que sus sentidos rompen facil como cristal,,no por que no hay escobas se cristal,,sus sentidos son bonitos,,por que pueden existir algo salado,,que abrazan suave,,porque puedes abrazar suave,,que los lapiz sin sabor ,,por que los lapiz no tienen sabor,,lo caliente se acerca,,no por que los hornos no tienen pies,,que puedes viajar con el tren,,si por que hay tren,,el dia va rapido ,,si por que muchas personas le va el dia,,,
54,55,m,si. porque estan describiendo a las personas y a los seres vivos como las pelotas,,que su hermano grita mucho,,hamster. porque el chiste es que tenga pelos,,WW,,muy fragil,,muy bonitas,,que no tienen sentimientos ,,que la sonrisa es muy bonita,,que el año se va muy lento,,que los segundos se pasan muy rapido,,que sus ojos son muy bonitos,,no es posible por que la frase esta en figurado,,que el collar esta hecho de perlas,,es posible por que el collar puede estar hecho de perlas,,que es muy delicada la escoba,,no por que una escoba no puede estar hecha de cristal,,que la comida trae mucha sal,,si por que la comida puede tener mucha sal,,que los abrazos son muy suaves,,si por que la piel es muy suave,,que el lapiz no tiene sabor,,si por que el lapiz no tiene sabor,,que se acerca la epoca del sabor,,no por que los hornos no tienen vida propia ni piernas,,que el tren viaja ,,es posible por que los trenes siempre viajan,,que los dias pasan muy rapido ,,no por que los dias no pueden correr,,,
55,56,m,no. porque las pelotas no cantan ,,que su hermano grita mucho,,gato porque tiene mucho pelo,,la luna porque es una esfera y es gris como la plata,,de papel ,,amarillos,,frios ,,tibia,,va lento,,que pasan muy rapido,,que tienen los ojos del color de la miel,,por que no puedes tener ojos de un alimento,,un collar de un material muy costoso,,porque es muy comun que los usen,,una escoba hecha de vidrio,,porque una escoba de vidrio no barre,,comida con sal,,por que a muchos les gusto ese sabor,,un abrazo sin fuerza,,porque puedes dar un abrazo con la fuerza que quieras,,un lapiz que no se sabe a nada,,por que un lapiz no se come,,un horno va ahacia ti ,,por que los hornos no caminan,,el tren va de un ladoa otro,,por qu el tren lleva gente a otro lugar,,los dias pasan rapido ,,por que si estas divertido se pasa bien rapido,,,
56,57,m,no. porque las pelotas no tienen boca,,es un nino griton,,un erizo. tiene muchos pinchos,,las ninas porque son ordenadas,,suave,,brillantes ,,tristes,,desepcionada,,ve muy lento,,el tiempo va rapido,,ojos brillantes ,,porque los ojos no son de miel,,collares hechos de perlas ,,por que hay collaares hechos de perlas,,escobas fragiles,,porque si intentarias barrer se rompe la escoba,,comida no buena,,porque las tostadas son saladas ( algunas),,abrasos debiles,,por que puedes dar un abrazo a ,,lapiz desabrido,,porque los lapices son de madrea y no sabe a nada ,,los calores se acercan,,por que los hornos no pueden caminar,,el tren avanza,,un tren no puede subirse a un tren ,,los dias pasan ,,porque los dias no tienen piernas ,,,
